scenario,policy,rep,epoch,epoch_cost,cumulative_regret
flash_flood,robust,12,5,67200.0,51659.37
flash_flood,adaptive,12,5,67200.0,45770.11
flash_flood,robust,13,0,9401.8,-199214.92
flash_flood,adaptive,13,0,8827.09,-199789.64
flash_flood,robust,13,1,12945.56,-186269.36
flash_flood,adaptive,13,1,13039.51,-186750.13
flash_flood,robust,13,2,23609.8,-162659.56
flash_flood,adaptive,13,2,22493.04,-164257.09
flash_flood,robust,13,3,78736.41,-83923.15
flash_flood,adaptive,13,3,65355.95,-98901.13
flash_flood,robust,13,4,80112.0,-3811.15
flash_flood,adaptive,13,4,80112.0,-18789.13
flash_flood,robust,13,5,76032.0,72220.85
flash_flood,adaptive,13,5,76032.0,57242.87
flash_flood,robust,14,0,6284.67,-239776.45
flash_flood,adaptive,14,0,4877.1,-241184.02
flash_flood,robust,14,1,15991.13,-223785.31
flash_flood,adaptive,14,1,15489.67,-225694.35
flash_flood,robust,14,2,18979.58,-204805.74
flash_flood,adaptive,14,2,18805.1,-206889.25
flash_flood,robust,14,3,116959.9,-87845.83
flash_flood,adaptive,14,3,114217.75,-92671.5
flash_flood,robust,14,4,73440.0,-14405.83
flash_flood,adaptive,14,4,73440.0,-19231.5
flash_flood,robust,14,5,69552.0,55146.17
flash_flood,adaptive,14,5,69552.0,50320.5
flash_flood,robust,15,0,4676.8,-246408.77
flash_flood,adaptive,15,0,3690.83,-247394.74
flash_flood,robust,15,1,9062.68,-237346.09
flash_flood,adaptive,15,1,8937.08,-238457.65
flash_flood,robust,15,2,22216.82,-215129.27
flash_flood,adaptive,15,2,21111.26,-217346.39
flash_flood,robust,15,3,150853.28,-64275.99
flash_flood,adaptive,15,3,145556.67,-71789.72
flash_flood,robust,15,4,73872.0,9596.01
flash_flood,adaptive,15,4,73872.0,2082.28
flash_flood,robust,15,5,39552.0,49148.01
flash_flood,adaptive,15,5,39552.0,41634.28
flash_flood,robust,16,0,4519.62,-237183.12
flash_flood,adaptive,16,0,3862.22,-237840.52
flash_flood,robust,16,1,8274.79,-228908.33
flash_flood,adaptive,16,1,7906.98,-229933.54
flash_flood,robust,16,2,17720.11,-211188.22
flash_flood,adaptive,16,2,17356.56,-212576.98
flash_flood,robust,16,3,113644.52,-97543.69
